model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,0.6286379511059371,0.7457983193277311,0.6419529837251357,0.6899902818270165,0.6676358307035895,0.7607683495731763,185,121,198,355
Random Forest,0.6379511059371362,0.7283018867924528,0.6980108499095841,0.7128347183748845,0.6613480835372123,0.7601765147028432,162,144,167,386
Gradient Boosting,0.6635622817229336,0.6778975741239892,0.9095840867992767,0.7768339768339768,0.630145729177747,0.7223135939195948,67,239,50,503
